"CountryCode","SeriesCode","DESCRIPTION",
"ABW","IT.CEL.SETS.P2","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","IT.MLT.MAIN.P2","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","IT.NET.BBND.P2","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","IT.NET.USER.ZS","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"ABW","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"ABW","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"ABW","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"ABW","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"AFG","IT.CEL.SETS.P2","Ministry of Communications. Ministry of Communications & Information Technology",
"AFG","IT.MLT.MAIN.P2","Ministry of Communications. Ministry of Communications & Information Technology",
"AFG","IT.NET.BBND.P2","Ministry of Communications. Ministry of Communications & Information Technology",
"AFG","IT.NET.USER.ZS","Ministry of Communications. Ministry of Communications & Information Technology",
"AFG","NY.GDP.PCAP.PP.KD","Estimates are based on regression.",
"AFG","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"AFG","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"AFG","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"AFG","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"AFG","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"AGO","IT.CEL.SETS.P2","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.",
"AGO","IT.MLT.MAIN.P2","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.",
"AGO","IT.NET.BBND.P2","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.",
"AGO","IT.NET.USER.ZS","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.",
"AGO","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
